,MASE,sMAPE_%,MAPE_%,RMSE_MW,MSE
AT,0.40518559782017466,2.987205953498509,2.9080234579526985,315.67734935605216,99652.18889646299
BE,0.953601913911885,5.703974445514808,6.032600159474534,673.0649094319015,453016.37230857374
BG,0.816330245270096,2.943210928614853,3.0005207645529044,128.8202315212028,16594.652049176293
