timestamp,actual,forecast,error,abs_error,pct_error
2020-05-06 21:00:00+00:00,5792.0,5926.6455,-134.6455078125,134.6455078125,-2.324680728806975
2020-05-06 22:00:00+00:00,5511.0,5539.5522,-28.55224609375,28.55224609375,-0.5180955560469969
2020-05-06 23:00:00+00:00,5195.0,5028.6084,166.3916015625,166.3916015625,3.2029182206448508
2020-05-07 00:00:00+00:00,5124.0,4800.185,323.81494140625,323.81494140625,6.3195734076161205
2020-05-07 01:00:00+00:00,4983.0,4644.9614,338.03857421875,338.03857421875,6.783836528572146
2020-05-07 02:00:00+00:00,5097.0,4655.493,441.5068359375,441.5068359375,8.662092131400824
2020-05-07 03:00:00+00:00,5563.0,4877.835,685.1650390625,685.1650390625,12.316466637830308
2020-05-07 04:00:00+00:00,6357.0,5304.2144,1052.78564453125,1052.78564453125,16.56104521836165
2020-05-07 05:00:00+00:00,7034.0,5820.9917,1213.00830078125,1213.00830078125,17.24492892779713
2020-05-07 06:00:00+00:00,7208.0,6301.4614,906.53857421875,906.53857421875,12.576839264966011
2020-05-07 07:00:00+00:00,7186.0,6669.8022,516.19775390625,516.19775390625,7.183380933847064
2020-05-07 08:00:00+00:00,7249.0,6887.209,361.791015625,361.791015625,4.990909306456063
2020-05-07 09:00:00+00:00,7409.0,6943.084,465.916015625,465.916015625,6.2885141803887175
2020-05-07 10:00:00+00:00,7156.0,6875.786,280.2138671875,280.2138671875,3.915789088701789
2020-05-07 11:00:00+00:00,6989.0,6743.1587,245.84130859375,245.84130859375,3.51754626690156
2020-05-07 12:00:00+00:00,6818.0,6611.159,206.8408203125,206.8408203125,3.0337462644837196
2020-05-07 13:00:00+00:00,6636.0,6505.579,130.4208984375,130.4208984375,1.9653541054475587
2020-05-07 14:00:00+00:00,6533.0,6442.8994,90.1005859375,90.1005859375,1.3791609664396143
2020-05-07 15:00:00+00:00,6563.0,6423.5444,139.45556640625,139.45556640625,2.1248753071194577
2020-05-07 16:00:00+00:00,6680.0,6393.378,286.6220703125,286.6220703125,4.2907495555763475
2020-05-07 17:00:00+00:00,6779.0,6325.0293,453.970703125,453.970703125,6.6967208013718835
2020-05-07 18:00:00+00:00,6742.0,6223.5645,518.435546875,518.435546875,7.689640268095522
2020-05-07 19:00:00+00:00,6463.0,6051.8647,411.13525390625,411.13525390625,6.361368619932693
2020-05-07 20:00:00+00:00,6252.0,5824.625,427.375,427.375,6.835812539987204
2020-05-07 21:00:00+00:00,5742.0,5559.185,182.81494140625,182.81494140625,3.183819947862243
2020-05-07 22:00:00+00:00,5422.0,5284.043,137.95703125,137.95703125,2.54439378919218
2020-05-07 23:00:00+00:00,5134.0,4951.8237,182.17626953125,182.17626953125,3.5484275327473704
2020-05-08 00:00:00+00:00,5013.0,4733.6807,279.3193359375,279.3193359375,5.571899779323758
2020-05-08 01:00:00+00:00,4903.0,4575.6,327.39990234375,327.39990234375,6.677542368830308
2020-05-08 02:00:00+00:00,4993.0,4571.541,421.458984375,421.458984375,8.440997083416784
2020-05-08 03:00:00+00:00,5440.0,4758.6475,681.3525390625,681.3525390625,12.524862850413603
2020-05-08 04:00:00+00:00,6221.0,5133.8022,1087.19775390625,1087.19775390625,17.476253880505546
2020-05-08 05:00:00+00:00,6800.0,5591.2534,1208.74658203125,1208.74658203125,17.775685029871326
