timestamp,y_true,yhat,residual,z_resid,flag_z,cusum_plus,cusum_minus,flag_cusum
2020-09-17 12:00:00+00:00,7740.0,7569.0,171.0,0.21478024415444227,0,10.195523016032608,0.0,1
2020-09-17 13:00:00+00:00,7613.0,7510.0,103.0,0.11823700589758548,0,9.813760021930193,0.0,1
2020-09-17 14:00:00+00:00,7559.0,7490.0,69.0,0.06966006194257905,0,9.383420083872773,0.0,1
2020-09-17 15:00:00+00:00,7556.0,7523.0,33.0,0.018531075145021468,0,8.901951159017795,0.0,1
2020-09-17 16:00:00+00:00,7554.0,7564.0,-10.0,-0.04192078984666605,0,8.36003036917113,0.0,1
2020-09-17 17:00:00+00:00,7543.0,7557.0,-14.0,-0.04753614264472256,0,7.8124942265264075,0.0,1
2020-09-17 18:00:00+00:00,7242.0,7252.0,-10.0,-0.04191660040578271,0,7.270577626120625,0.0,1
2020-09-17 19:00:00+00:00,6634.0,6658.0,-24.0,-0.061509509451210705,0,6.709068116669414,0.0,1
2020-09-17 20:00:00+00:00,6259.0,6271.0,-12.0,-0.04466351482070524,0,6.164404601848709,0.0,1
2020-09-17 21:00:00+00:00,5813.0,5779.0,34.0,0.01985648564643327,0,5.684261087495142,0.0,1
2020-09-17 22:00:00+00:00,5541.0,5555.0,-14.0,-0.047101876587357185,0,5.137159210907785,0.0,1
2020-09-17 23:00:00+00:00,5278.0,5300.0,-22.0,-0.058161011072631476,0,4.578998199835153,0.0,0
2020-09-18 00:00:00+00:00,5172.0,5212.0,-40.0,-0.08321412529730568,0,3.9957840745378475,0.0,0
2020-09-18 01:00:00+00:00,5084.0,5123.0,-39.0,-0.08163707224633183,0,3.4141470022915157,0.0,0
2020-09-18 02:00:00+00:00,5188.0,5212.0,-24.0,-0.060421570951667954,0,2.8537254313398477,0.0,0
2020-09-18 03:00:00+00:00,5741.0,5777.0,-36.0,-0.07709109013374743,0,2.2766343412061003,0.0,0
2020-09-18 04:00:00+00:00,6765.0,6766.0,-1.0,-0.028374269585396645,0,1.7482600716207037,0.0,0
2020-09-18 05:00:00+00:00,7486.0,7489.0,-3.0,-0.0318857003766853,0,1.2163743712440185,0.0,0
2020-09-18 06:00:00+00:00,7780.0,7794.0,-14.0,-0.04799866808935073,0,0.6683757031546678,0.0,0
2020-09-18 07:00:00+00:00,7785.0,7845.0,-60.0,-0.11317283881602011,0,0.05520286433864763,0.0,0
2020-09-18 08:00:00+00:00,7842.0,7937.0,-95.0,-0.16271990533071132,0,0.0,0.0,0
2020-09-18 09:00:00+00:00,7871.0,8030.0,-159.0,-0.2526694913113189,0,0.0,0.0,0
2020-09-18 10:00:00+00:00,7594.0,7834.0,-240.0,-0.3661529196207959,0,0.0,0.0,0
2020-09-18 11:00:00+00:00,7421.0,7777.0,-356.0,-0.5285449416804947,0,0.0,0.028544941680494706,0
2020-09-18 12:00:00+00:00,7279.0,7740.0,-461.0,-0.6748260559498361,0,0.0,0.20337099763033084,0
2020-09-18 13:00:00+00:00,7209.0,7613.0,-404.0,-0.5937274017853703,0,0.0,0.29709839941570115,0
2020-09-18 14:00:00+00:00,7183.0,7559.0,-376.0,-0.553432220732557,0,0.0,0.3505306201482582,0
2020-09-18 15:00:00+00:00,7262.0,7556.0,-294.0,-0.437659946870166,0,0.0,0.28819056701842416,0
2020-09-18 16:00:00+00:00,7332.0,7554.0,-222.0,-0.33619065252212804,0,0.0,0.12438121954055226,0
2020-09-18 17:00:00+00:00,7337.0,7543.0,-206.0,-0.31333477612091964,0,0.0,0.0,0
2020-09-18 18:00:00+00:00,7056.0,7242.0,-186.0,-0.2851629709108927,0,0.0,0.0,0
2020-09-18 19:00:00+00:00,6499.0,6634.0,-135.0,-0.21359434605172067,0,0.0,0.0,0
2020-09-18 20:00:00+00:00,6169.0,6259.0,-90.0,-0.15039192372953944,0,0.0,0.0,0
2020-09-18 21:00:00+00:00,5696.0,5813.0,-117.0,-0.1880155250672394,0,0.0,0.0,0
2020-09-18 22:00:00+00:00,5332.0,5541.0,-209.0,-0.3170302811923991,0,0.0,0.0,0
2020-09-18 23:00:00+00:00,4960.0,5278.0,-318.0,-0.46953666755787515,0,0.0,0.0,0
2020-09-19 00:00:00+00:00,4827.0,4801.852648755837,25.147351244162564,0.010942337889475883,0,0.0,0.0,0
2020-09-19 01:00:00+00:00,4692.0,4689.73955280672,2.260447193280015,-0.021954893911523887,0,0.0,0.0,0
2020-09-19 02:00:00+00:00,4684.0,4743.244960193847,-59.24496019384696,-0.10928833575269083,0,0.0,0.0,0
2020-09-19 03:00:00+00:00,4913.0,5055.071967038124,-142.07196703812406,-0.22760793724001901,0,0.0,0.0,0
2020-09-19 04:00:00+00:00,5290.0,5645.532636738444,-355.5326367384441,-0.5320368647169879,0,0.0,0.032036864716987856,0
2020-09-19 05:00:00+00:00,5736.0,6202.452227406464,-466.4522274064639,-0.6965250698441858,0,0.0,0.22856193456117369,0
2020-09-19 06:00:00+00:00,6114.0,6578.896105944101,-464.8961059441008,-0.702590245221639,0,0.0,0.43115217978281273,0
2020-09-19 07:00:00+00:00,6305.0,6796.65067670351,-491.6506767035098,-0.7469636264282883,0,0.0,0.678115806211101,0
2020-09-19 08:00:00+00:00,6382.0,6984.580915075159,-602.5809150751593,-0.9106697815002318,0,0.0,1.0887855877113328,0
2020-09-19 09:00:00+00:00,6407.0,7136.393541445366,-729.3935414453663,-1.095995845342555,0,0.0,1.684781433053888,0
2020-09-19 10:00:00+00:00,6182.0,6948.031775109464,-766.0317751094644,-1.1504459261697038,0,0.0,2.335227359223592,0
2020-09-19 11:00:00+00:00,6074.0,6815.487469059458,-741.4874690594579,-1.1171123349842196,0,0.0,2.9523396942078115,0
2020-09-19 12:00:00+00:00,5936.0,6703.904698790563,-767.9046987905631,-1.157341543887448,0,0.0,3.609681238095259,0
2020-09-19 13:00:00+00:00,5894.0,6638.931086446088,-744.9310864460876,-1.1260047317317166,0,0.0,4.235685969826976,0
2020-09-19 14:00:00+00:00,5873.0,6607.820392794293,-734.8203927942932,-1.1126450176579095,0,0.0,4.848330987484886,0
2020-09-19 15:00:00+00:00,5998.0,6635.508332440081,-637.5083324400812,-0.9737574186442063,0,0.0,5.322088406129092,1
2020-09-19 16:00:00+00:00,6091.0,6662.6596640492935,-571.6596640492935,-0.881687409827752,0,0.0,5.703775815956844,1
2020-09-19 17:00:00+00:00,6146.0,6571.455392367977,-425.45539236797686,-0.6736389961191914,0,0.0,5.877414812076035,1
2020-09-19 18:00:00+00:00,6053.0,6419.835019211286,-366.8350192112857,-0.5913206919125107,0,0.0,5.968735503988546,1
2020-09-19 19:00:00+00:00,5650.0,6073.239274077088,-423.23927407708834,-0.6748973045512547,0,0.0,6.143632808539801,1
2020-09-19 20:00:00+00:00,5484.0,5853.517277536104,-369.5172775361043,-0.5977544447739103,0,0.0,6.241387253313711,1
