,MASE,sMAPE_%,MAPE_%,RMSE_MW,MSE
AT,0.45834401968258986,3.439104173718467,3.4018781087887806,308.39814909526734,95109.41836538675
BE,0.68896756915119,4.123189056303668,4.2009634105039115,436.59757526608644,190617.44272822601
BG,1.110843054136573,3.9801829937338704,4.111837104448006,192.42638994455513,37027.91554709399
