country,p,d,q,P,D,Q,s,AIC,BIC,dev_MSE,fit_time
BE,1,1,2,0,0,1,24,541530.5616167677,541573.581157853,4561024.597864444,21.8341965675354
BE,1,1,2,0,1,0,24,524421.3328765243,524455.7485093926,586552941.4497757,7.657976150512695
BE,1,1,2,0,1,1,24,512093.43923120084,512136.4557931401,45757227.05848078,67.37939286231995
BE,1,1,2,1,0,0,24,520835.0686415102,520878.0884307776,2565551.492339317,20.233065605163574
BE,1,1,2,1,0,1,24,512260.20526203397,512311.82871133636,10622215.836267753,51.83666944503784
BE,1,1,2,1,1,0,24,520515.6263922573,520558.6432025265,231330285.97302952,47.10593605041504
BE,1,1,2,1,1,1,24,510403.40379764885,510455.02367197594,24730205.280596666,79.31309604644775
BE,2,0,0,0,0,0,24,566494.1257359721,566519.939395867,93338832.9764532,1.5144031047821045
BE,2,0,0,0,0,1,24,542570.1092064471,542604.5251371302,92962387.98211034,25.837552070617676
BE,2,0,0,0,1,0,24,523429.8306694919,523455.6425430523,1503385.1923654317,8.476089715957642
BE,2,0,0,0,1,1,24,511782.5299461658,511816.9434937095,2201377.321137059,60.26046276092529
BE,2,0,0,1,0,0,24,521136.3074038709,521170.7232352848,94603537.86594725,22.281078338623047
BE,2,0,0,1,0,1,24,512017.50817920745,512060.52796847484,14786922.260104993,44.913169384002686
BE,2,0,0,1,1,0,24,519883.5887015475,519918.0021497629,1523414.1069352014,32.07364749908447
BE,2,0,0,1,1,1,24,509797.88647267583,509840.90328294504,2203056.269816469,87.82236504554749
BE,2,0,1,0,0,0,24,564039.891253566,564074.3094667593,91074158.39621973,1.9782755374908447
BE,2,0,1,0,0,1,24,541719.1097971506,541762.1295864179,91513402.47740196,43.799381732940674
BE,2,0,1,0,1,0,24,523317.63784674264,523352.0536781565,1498197.5978741427,8.380717277526855
BE,2,0,1,0,1,1,24,511381.82962300815,511424.84643327736,2187379.6527081323,73.3993034362793
BE,2,0,1,1,0,0,24,520865.40280793747,520908.42259720486,94501331.90762101,33.932151556015015
BE,2,0,1,1,0,1,24,511630.493831054,511682.11757817486,16379253.003210371,58.96709990501404
BE,2,0,1,1,1,0,24,519595.67532256263,519638.69213283184,1519452.5737055223,53.23568344116211
BE,2,0,1,1,1,1,24,509553.80778968544,509605.4279620085,2197594.4012416387,99.41366720199585
BE,2,0,2,0,0,0,24,563775.0665165934,563818.0891590695,89915116.63893925,4.687192440032959
BE,2,0,2,0,0,1,24,552619.0175376786,552670.641135892,5381251.616135818,88.8599374294281
BE,2,0,2,0,1,0,24,523098.15399732534,523141.17366250325,1487484.0951912627,11.537426233291626
BE,2,0,2,0,1,1,24,511095.7180131995,511147.33803652646,2169419.7477807035,118.36836290359497
BE,2,0,2,1,0,0,24,522781.8887396875,522833.51248680835,93464339.01175076,59.02637052536011
BE,2,0,2,1,0,1,24,511340.79614055186,511401.0236718009,17494201.60822456,80.21822690963745
BE,2,0,2,1,1,0,24,519330.85447826074,519382.4746505838,1508215.3072848644,70.4391679763794
BE,2,0,2,1,1,1,24,509320.95319441735,509381.17655496544,2187945.3160316977,148.70988178253174
BE,2,1,0,0,0,0,24,563707.8020404547,563733.6156259404,5932295.895064509,1.8395867347717285
BE,2,1,0,0,0,1,24,541563.8631085054,541598.2789399193,4515807.673882555,13.017202615737915
BE,2,1,0,0,1,0,24,524608.5641566975,524634.3759558043,510104413.9534266,2.4279534816741943
BE,2,1,0,0,1,1,24,512232.1839010763,512266.5973492917,39730648.97438636,38.35220718383789
BE,2,1,0,1,0,0,24,520983.0527481019,521017.46848024416,2666649.1453615483,14.542598485946655
BE,2,1,0,1,0,1,24,512386.62665347883,512429.64631865674,9149195.802561546,31.404118061065674
BE,2,1,0,1,1,0,24,520646.5526307592,520680.9659796438,179973195.40573663,49.026119232177734
BE,2,1,0,1,1,1,24,510534.01692784205,510577.0336139478,20721047.575535897,65.17804622650146
BE,2,1,1,0,0,0,24,560547.261660953,560581.679774934,2650060.503337556,5.9880499839782715
BE,2,1,1,0,0,1,24,538424.5731194335,538467.5927846114,2990028.769499554,48.25011849403381
BE,2,1,1,0,1,0,24,523432.1468805927,523466.56261273497,1495721.2142849406,45.154521465301514
BE,2,1,1,0,1,1,24,513389.6039869072,513432.620673013,2529995.045108433,131.80273699760437
BE,2,1,1,1,0,0,24,519693.6041047517,519736.62376992963,1705840.1105673024,79.14846634864807
BE,2,1,1,1,0,1,24,511711.77714976197,511763.40074797545,11067588.114642745,96.50420331954956
BE,2,1,1,1,1,0,24,520062.4476681178,520105.4643542236,1476117.7716887924,167.75849723815918
BE,2,1,1,1,1,1,24,511959.82251265866,512011.4425359856,2630258.67737598,226.37853002548218
BE,2,1,2,0,0,0,24,559826.9399993933,559869.9625178507,3090921.328831036,5.258519411087036
