timestamp,actual,forecast,mase,mape,rmse,refit_flag,mase_rolling_24h,mape_rolling_24h,rmse_rolling_24h
2015-03-02 01:00:00+00:00,3519.0,3599.958,1.2868652753182201,6.445146491802821,301.00934786408584,1,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 02:00:00+00:00,3515.0,3593.0322,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 03:00:00+00:00,3591.0,3701.1365,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 04:00:00+00:00,3771.0,3923.2856,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 05:00:00+00:00,4027.0,4233.0493,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 06:00:00+00:00,4390.0,4462.265,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 07:00:00+00:00,4494.0,4642.089,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 08:00:00+00:00,4439.0,4679.917,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 09:00:00+00:00,4337.0,4657.8584,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 10:00:00+00:00,4226.0,4543.086,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 11:00:00+00:00,4116.0,4454.5977,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 12:00:00+00:00,3997.0,4440.6265,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 13:00:00+00:00,3976.0,4513.578,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 14:00:00+00:00,4065.0,4629.4463,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 15:00:00+00:00,4267.0,4740.3223,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 16:00:00+00:00,4845.0,4957.6284,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 17:00:00+00:00,5022.0,5054.8047,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 18:00:00+00:00,4787.0,5034.488,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 19:00:00+00:00,4496.0,4885.5522,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 20:00:00+00:00,4363.0,4663.536,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 21:00:00+00:00,4112.0,4389.63,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 22:00:00+00:00,3852.0,4139.667,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-02 23:00:00+00:00,3574.0,3856.553,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-03 00:00:00+00:00,3428.0,3737.2305,1.2868652753182201,6.445146491802821,301.00934786408584,0,1.2868652753182201,6.445146491802821,301.00934786408584
2015-03-03 01:00:00+00:00,3388.0,3543.9849,0.836708287622911,4.255771603115921,207.79509837423615,0,0.836708287622911,4.255771603115921,207.79509837423615
2015-03-03 02:00:00+00:00,3366.0,3541.0981,0.836708287622911,4.255771603115921,207.79509837423615,0,0.836708287622911,4.255771603115921,207.79509837423615
2015-03-03 03:00:00+00:00,3369.0,3660.4456,0.836708287622911,4.255771603115921,207.79509837423615,0,0.836708287622911,4.255771603115921,207.79509837423615
2015-03-03 04:00:00+00:00,3519.0,3888.2507,0.836708287622911,4.255771603115921,207.79509837423615,0,0.836708287622911,4.255771603115921,207.79509837423615
2015-03-03 05:00:00+00:00,3784.0,4194.901,0.836708287622911,4.255771603115921,207.79509837423615,0,0.836708287622911,4.255771603115921,207.79509837423615
2015-03-03 06:00:00+00:00,4202.0,4410.423,0.836708287622911,4.255771603115921,207.79509837423615,0,0.836708287622911,4.255771603115921,207.79509837423615
2015-03-03 07:00:00+00:00,4447.0,4581.868,0.836708287622911,4.255771603115921,207.79509837423615,0,0.836708287622911,4.255771603115921,207.79509837423615
2015-03-03 08:00:00+00:00,4576.0,4605.714,0.836708287622911,4.255771603115921,207.79509837423615,0,0.836708287622911,4.255771603115921,207.79509837423615
2015-03-03 09:00:00+00:00,4548.0,4581.2573,0.836708287622911,4.255771603115921,207.79509837423615,0,0.836708287622911,4.255771603115921,207.79509837423615
2015-03-03 10:00:00+00:00,4441.0,4465.354,0.836708287622911,4.255771603115921,207.79509837423615,0,0.836708287622911,4.255771603115921,207.79509837423615
