timestamp,actual,forecast,lower_bound_80%,upper_bound_80%,error
2020-09-19 00:00:00+00:00,7364.0,7392.756158755025,7235.538401021817,7549.973916488234,-28.756158755025353
2020-09-19 01:00:00+00:00,7208.0,7334.737740663839,7074.403946867698,7595.071534459979,-126.73774066383885
2020-09-19 02:00:00+00:00,7245.0,7370.368339677696,7019.987820571613,7720.748858783779,-125.36833967769599
2020-09-19 03:00:00+00:00,7227.0,7591.972371969474,7167.464932837625,8016.479811101322,-364.9723719694739
2020-09-19 04:00:00+00:00,7598.0,8085.879868400676,7600.269108470338,8571.490628331014,-487.87986840067606
2020-09-19 05:00:00+00:00,7930.0,8552.55240321485,8015.907111664341,9089.197694765358,-622.5524032148496
2020-09-19 06:00:00+00:00,8337.0,8998.484008811856,8418.596321719933,9578.37169590378,-661.4840088118563
2020-09-19 07:00:00+00:00,8724.0,9332.195655064326,8715.197372669541,9949.193937459111,-608.1956550643263
2020-09-19 08:00:00+00:00,8802.0,9434.628144001608,8785.442836328106,10083.81345167511,-632.6281440016082
2020-09-19 09:00:00+00:00,8855.0,9517.683638627865,8840.34160463083,10195.025672624899,-662.6836386278646
2020-09-19 10:00:00+00:00,8732.0,9462.89588970272,8760.752371281045,10165.039408124396,-730.8958897027205
2020-09-19 11:00:00+00:00,8411.0,9298.592624215602,8574.480905251095,10022.704343180108,-887.592624215602
2020-09-19 12:00:00+00:00,8382.0,9116.276413056321,8372.617418548414,9859.935407564228,-734.276413056321
2020-09-19 13:00:00+00:00,8425.0,9044.97832462034,8283.860884571755,9806.095764668926,-619.9783246203406
2020-09-19 14:00:00+00:00,8530.0,9079.124146873048,8302.36513118116,9855.883162564935,-549.1241468730477
2020-09-19 15:00:00+00:00,8823.0,9292.413889349154,8501.604240278071,10083.223538420238,-469.4138893491545
2020-09-19 16:00:00+00:00,8942.0,9422.595854996987,8619.136521514245,10226.05518847973,-480.5958549969873
2020-09-19 17:00:00+00:00,8987.0,9364.348219596255,8549.478704378977,10179.217734813534,-377.34821959625515
2020-09-19 18:00:00+00:00,9135.0,9310.772956104676,8485.594347872224,10135.951564337129,-175.77295610467627
2020-09-19 19:00:00+00:00,8731.0,9171.021324846593,8336.515136327107,10005.52751336608,-440.0213248465934
2020-09-19 20:00:00+00:00,8448.0,8902.317681957464,8059.361442918021,9745.273920996906,-454.3176819574637
2020-09-19 21:00:00+00:00,8005.0,8476.302931811273,7625.683232719576,9326.922630902971,-471.3029318112731
2020-09-19 22:00:00+00:00,7525.0,7992.85547012494,7135.278974924361,8850.431965325519,-467.85547012494044
2020-09-19 23:00:00+00:00,7302.0,7698.424254396017,6834.527075084392,8562.321433707642,-396.4242543960172
2020-09-20 00:00:00+00:00,7185.0,7136.5507561337945,6979.4376417829335,7293.6638704846555,48.44924386620551
2020-09-20 01:00:00+00:00,6938.0,7065.535965695198,6805.618179266837,7325.453752123559,-127.53596569519777
2020-09-20 02:00:00+00:00,6989.0,7105.312571201886,6755.665907139428,7454.959235264345,-116.31257120188639
2020-09-20 03:00:00+00:00,6982.0,7305.666121209295,6882.14613565414,7729.1861067644495,-323.66612120929494
2020-09-20 04:00:00+00:00,7162.0,7818.485402203959,7334.060262178817,8302.910542229101,-656.485402203959
2020-09-20 05:00:00+00:00,7348.0,8301.121595828281,7765.818980103849,8836.424211552712,-953.121595828281
2020-09-20 06:00:00+00:00,7668.0,8771.89752836016,8193.479422047923,9350.315634672395,-1103.8975283601594
2020-09-20 07:00:00+00:00,8155.0,9117.89878515342,8502.474409394543,9733.323160912298,-962.8987851534202
2020-09-20 08:00:00+00:00,8361.0,9217.130549461968,8569.606093692113,9864.655005231823,-856.1305494619683
2020-09-20 09:00:00+00:00,8430.0,9295.14194564843,8619.533979122356,9970.749912174502,-865.1419456484291
2020-09-20 10:00:00+00:00,8336.0,9215.905206949628,8515.55788757495,9916.252526324306,-879.9052069496283
2020-09-20 11:00:00+00:00,8026.0,9037.937253104556,8315.674759767706,9760.199746441405,-1011.9372531045556
2020-09-20 12:00:00+00:00,7833.0,8909.091876635073,8167.327552359812,9650.856200910333,-1076.0918766350733
2020-09-20 13:00:00+00:00,7699.0,8858.096810183348,8098.913103721774,9617.280516644922,-1159.0968101833478
2020-09-20 14:00:00+00:00,7790.0,8911.312258797092,8136.520624438487,9686.103893155696,-1121.312258797092
2020-09-20 15:00:00+00:00,8126.0,9133.94875714224,8345.135510812717,9922.762003471762,-1007.9487571422396
2020-09-20 16:00:00+00:00,8451.0,9249.689151095843,8448.25126909955,10051.127033092136,-798.689151095843
2020-09-20 17:00:00+00:00,8694.0,9204.385780327571,8391.559339917087,10017.212220738056,-510.3857803275714
2020-09-20 18:00:00+00:00,8972.0,9176.329283584773,8353.21241026461,9999.446156904936,-204.3292835847733
2020-09-20 19:00:00+00:00,8613.0,8982.861965436796,8150.433601983622,9815.290328889969,-369.8619654367958
2020-09-20 20:00:00+00:00,8186.0,8712.95069293691,7872.086135813197,9553.815250060625,-526.9506929369109
2020-09-20 21:00:00+00:00,7777.0,8289.644058733773,7441.12795475378,9138.160162713766,-512.6440587337729
2020-09-20 22:00:00+00:00,7328.0,7803.033535067862,6947.570854800616,8658.49621533511,-475.03353506786243
2020-09-20 23:00:00+00:00,7300.0,7520.081854704191,6658.307233803661,8381.85647560472,-220.08185470419085
2020-09-21 00:00:00+00:00,7165.0,7219.29834421115,7061.813921966288,7376.782766456012,-54.298344211149924
2020-09-21 01:00:00+00:00,7105.0,7158.01497217618,6896.9553342687195,7419.07461008364,-53.01497217617998
