timestamp,actual,forecast,lower_bound_80%,upper_bound_80%,error
2020-09-18 23:00:00+00:00,2773.0,2762.1302652497916,2713.402537684503,2810.8579928150803,10.869734750208409
2020-09-19 00:00:00+00:00,2760.0,2714.5564207900925,2633.123099382618,2795.989742197567,45.44357920990751
2020-09-19 01:00:00+00:00,2725.0,2713.2344027415356,2604.3281280670512,2822.14067741602,11.765597258464368
2020-09-19 02:00:00+00:00,2774.0,2781.1180182459566,2652.6408041465697,2909.5952323453434,-7.118018245956591
2020-09-19 03:00:00+00:00,2891.0,2933.275132532886,2789.630010609074,3076.920254456698,-42.27513253288589
2020-09-19 04:00:00+00:00,3087.0,3177.736502202187,3021.848795130582,3333.6242092737916,-90.73650220218678
2020-09-19 05:00:00+00:00,3406.0,3517.708578530267,3351.699742938945,3683.717414121589,-111.708578530267
2020-09-19 06:00:00+00:00,3577.0,3749.4365923949845,3574.927482556776,3923.945702233193,-172.43659239498447
2020-09-19 07:00:00+00:00,3654.0,3823.7106654578233,3641.982811437012,4005.4385194786346,-169.71066545782332
2020-09-19 08:00:00+00:00,3698.0,3890.6226150776965,3702.713838253864,4078.531391901529,-192.62261507769654
2020-09-19 09:00:00+00:00,3678.0,3893.1391756048984,3699.904806692662,4086.3735445171346,-215.13917560489836
2020-09-19 10:00:00+00:00,3604.0,3901.738055405981,3703.89244235083,4099.583668461131,-297.73805540598096
2020-09-19 11:00:00+00:00,3515.0,3880.1781171914354,3678.3240438441035,4082.0321905387673,-365.1781171914354
2020-09-19 12:00:00+00:00,3503.0,3877.1355833494017,3671.785865410192,4082.4853012886115,-374.1355833494017
2020-09-19 13:00:00+00:00,3551.0,3910.283605802351,3701.8774008827677,4118.689810721934,-359.28360580235085
2020-09-19 14:00:00+00:00,3611.0,3924.3995622700936,3713.314978326801,4135.484146213386,-313.3995622700936
2020-09-19 15:00:00+00:00,3712.0,3986.7271811506926,3773.2912138776164,4200.163148423769,-274.72718115069256
2020-09-19 16:00:00+00:00,3925.0,4032.5732046741896,3817.069697833396,4248.076711514983,-107.57320467418958
2020-09-19 17:00:00+00:00,3967.0,4002.3992131282166,3785.0753231985664,4219.723103057867,-35.399213128216616
2020-09-19 18:00:00+00:00,3675.0,3944.191258844828,3725.2627666028384,4163.119751086818,-269.1912588448281
2020-09-19 19:00:00+00:00,3532.0,3726.7799599477444,3506.435678395308,3947.1242415001807,-194.77995994774437
2020-09-19 20:00:00+00:00,3323.0,3474.217990600828,3252.623454462524,3695.8125267391324,-151.21799060082822
2020-09-19 21:00:00+00:00,3084.0,3172.6876163722713,2949.9881931738687,3395.387039570674,-88.68761637227135
2020-09-19 22:00:00+00:00,2893.0,2963.6905824791083,2740.014112733752,3187.3670522244647,-70.69058247910834
2020-09-19 23:00:00+00:00,2774.0,2787.8043589985487,2738.287243851761,2837.321474145336,-13.80435899854865
2020-09-20 00:00:00+00:00,2748.0,2752.0256212651775,2669.48159809624,2834.569644434115,-4.025621265177506
2020-09-20 01:00:00+00:00,2740.0,2742.332267929995,2632.279695029805,2852.3848408301847,-2.3322679299949414
2020-09-20 02:00:00+00:00,2779.0,2809.097796719727,2679.362226214129,2938.8333672253248,-30.09779671972683
2020-09-20 03:00:00+00:00,2869.0,2970.054751044476,2825.0172101867815,3115.09229190217,-101.05475104447578
2020-09-20 04:00:00+00:00,3021.0,3210.4771409672653,3053.055691662026,3367.8985902725044,-189.4771409672653
2020-09-20 05:00:00+00:00,3325.0,3545.5713944610097,3377.886310687925,3713.2564782340946,-220.57139446100973
2020-09-20 06:00:00+00:00,3579.0,3747.3665541565474,3571.0406068302864,3923.6925014828084,-168.3665541565474
2020-09-20 07:00:00+00:00,3661.0,3817.8224942118095,3634.1409051760734,4001.5040832475456,-156.8224942118095
2020-09-20 08:00:00+00:00,3693.0,3875.3696254420074,3685.3749849412425,4065.3642659427724,-182.36962544200742
2020-09-20 09:00:00+00:00,3683.0,3868.7465206329875,3673.299590816249,4064.1934504497262,-185.74652063298754
2020-09-20 10:00:00+00:00,3607.0,3865.4402913616627,3665.2612465435286,4065.619336179797,-258.44029136166273
2020-09-20 11:00:00+00:00,3538.0,3823.141335652126,3618.8389978619543,4027.443673442298,-285.14133565212614
2020-09-20 12:00:00+00:00,3526.0,3818.877535457779,3610.97084009617,4026.7842308193876,-292.8775354577788
2020-09-20 13:00:00+00:00,3571.0,3851.249659055381,3640.1838699446894,4062.3154481660727,-280.249659055381
2020-09-20 14:00:00+00:00,3674.0,3865.8587897618877,3652.0180373625335,4079.699542161242,-191.8587897618877
2020-09-20 15:00:00+00:00,3760.0,3935.851610510456,3719.5687772250462,4152.134443795865,-175.85161051045588
2020-09-20 16:00:00+00:00,4020.0,4031.632568512738,3813.1972105905966,4250.06792643488,-11.63256851273809
2020-09-20 17:00:00+00:00,4150.0,4070.703404508341,3850.3681887955513,4291.038620221131,79.29659549165899
2020-09-20 18:00:00+00:00,3872.0,3886.525586125695,3664.511581992363,4108.539590259027,-14.5255861256951
2020-09-20 19:00:00+00:00,3588.0,3684.4361316085697,3460.9372057523738,3907.9350574647656,-96.43613160856967
2020-09-20 20:00:00+00:00,3318.0,3442.1926169434796,3217.3791149693616,3667.0061189175976,-124.1926169434796
2020-09-20 21:00:00+00:00,3004.0,3163.58018272583,2937.602036471975,3389.558328979685,-159.58018272583013
2020-09-20 22:00:00+00:00,2842.0,2961.1317220509814,2734.1210893539624,3188.1423547480003,-119.13172205098135
2020-09-20 23:00:00+00:00,2751.0,2739.602851103545,2689.8291543313717,2789.3765478757186,11.397148896454837
