timestamp,actual,forecast,lower_bound_80%,upper_bound_80%,error
2020-09-19 00:00:00+00:00,4827.0,4801.852648755837,4704.585445751711,4899.119851759964,25.147351244162564
2020-09-19 01:00:00+00:00,4692.0,4689.73955280672,4483.233691250878,4896.245414362562,2.260447193280015
2020-09-19 02:00:00+00:00,4684.0,4743.244960193847,4430.623631788904,5055.86628859879,-59.244960193846964
2020-09-19 03:00:00+00:00,4913.0,5055.071967038124,4656.137281549545,5454.006652526703,-142.07196703812406
2020-09-19 04:00:00+00:00,5290.0,5645.532636738444,5177.293874279094,6113.771399197794,-355.5326367384441
2020-09-19 05:00:00+00:00,5736.0,6202.452227406464,5677.92098666575,6726.9834681471775,-466.45222740646386
2020-09-19 06:00:00+00:00,6114.0,6578.896105944101,6007.924051298876,7149.868160589325,-464.8961059441008
2020-09-19 07:00:00+00:00,6305.0,6796.65067670351,6186.8091809598955,7406.492172447124,-491.6506767035098
2020-09-19 08:00:00+00:00,6382.0,6984.580915075159,6341.812636771753,7627.349193378565,-602.5809150751593
2020-09-19 09:00:00+00:00,6407.0,7136.393541445366,6465.460497723476,7807.326585167257,-729.3935414453663
2020-09-19 10:00:00+00:00,6182.0,6948.031775109464,6252.82016400318,7643.243386215749,-766.0317751094644
2020-09-19 11:00:00+00:00,6074.0,6815.487469059458,6099.21762150878,7531.757316610136,-741.4874690594579
2020-09-19 12:00:00+00:00,5936.0,6703.904698790563,5969.278866573979,7438.530531007147,-767.9046987905631
2020-09-19 13:00:00+00:00,5894.0,6638.931086446088,5888.24009501992,7389.622077872255,-744.9310864460876
2020-09-19 14:00:00+00:00,5873.0,6607.820392794293,5843.022548295979,7372.618237292608,-734.8203927942932
2020-09-19 15:00:00+00:00,5998.0,6635.508332440081,5858.289176185993,7412.72748869417,-637.5083324400812
2020-09-19 16:00:00+00:00,6091.0,6662.6596640492935,5874.478182747408,7450.841145351179,-571.6596640492935
2020-09-19 17:00:00+00:00,6146.0,6571.455392367977,5773.580421461807,7369.330363274146,-425.45539236797686
2020-09-19 18:00:00+00:00,6053.0,6419.835019211286,5613.374386768748,7226.295651653823,-366.8350192112857
2020-09-19 19:00:00+00:00,5650.0,6073.239274077088,5259.163461177639,6887.315086976538,-423.23927407708834
2020-09-19 20:00:00+00:00,5484.0,5853.517277536104,5032.678860462847,6674.355694609361,-369.5172775361043
2020-09-19 21:00:00+00:00,5085.0,5417.603043042966,4590.752837356459,6244.453248729474,-332.6030430429664
2020-09-19 22:00:00+00:00,4790.0,5173.137966074664,4340.938554406904,6005.337377742425,-383.1379660746643
2020-09-19 23:00:00+00:00,4509.0,4906.165543651877,4069.202700442951,5743.1283868608025,-397.16554365187676
2020-09-20 00:00:00+00:00,4433.0,4446.734948048445,4349.549869354069,4543.920026742821,-13.734948048445403
2020-09-20 01:00:00+00:00,4367.0,4353.670555610705,4147.441241690921,4559.89986953049,13.329444389294622
2020-09-20 02:00:00+00:00,4362.0,4421.366261668195,4109.317655405692,4733.414867930698,-59.366261668194966
2020-09-20 03:00:00+00:00,4498.0,4768.6609350959425,4370.540840782849,5166.781029409036,-270.6609350959425
2020-09-20 04:00:00+00:00,4699.0,5397.1944339426245,4929.953356789397,5864.435511095852,-698.1944339426245
2020-09-20 05:00:00+00:00,4934.0,5990.634831175254,5467.237300638887,6514.03236171162,-1056.6348311752536
2020-09-20 06:00:00+00:00,5230.0,6390.485102069458,5820.747177653128,6960.223026485787,-1160.4851020694578
2020-09-20 07:00:00+00:00,5438.0,6593.372376288619,5984.83871864311,7201.906033934129,-1155.3723762886193
2020-09-20 08:00:00+00:00,5643.0,6736.220792460544,6094.8138899799505,7377.627694941137,-1093.2207924605436
2020-09-20 09:00:00+00:00,5780.0,6859.260745395297,6189.727228012623,7528.794262777971,-1079.260745395297
2020-09-20 10:00:00+00:00,5568.0,6667.048495651533,5973.262707623762,7360.834283679304,-1099.048495651533
2020-09-20 11:00:00+00:00,5385.0,6559.774547333779,5844.947618433982,7274.601476233576,-1174.774547333779
2020-09-20 12:00:00+00:00,5329.0,6447.45240085391,5714.27940693708,7180.62539477074,-1118.4524008539101
2020-09-20 13:00:00+00:00,5344.0,6398.8433580158035,5649.609518969633,7148.0771970619735,-1054.8433580158035
2020-09-20 14:00:00+00:00,5435.0,6371.229658554004,5607.888908713441,7134.5704083945675,-936.2296585540043
2020-09-20 15:00:00+00:00,5591.0,6432.189386445299,5656.423874994213,7207.954897896384,-841.1893864452986
2020-09-20 16:00:00+00:00,5899.0,6470.42399349134,5683.690099289733,7257.157887692948,-571.4239934913403
2020-09-20 17:00:00+00:00,6067.0,6408.7743407990365,5612.338923037225,7205.209758560848,-341.7743407990365
2020-09-20 18:00:00+00:00,5979.0,6268.0849194418915,5463.054340549653,7073.11549833413,-289.08491944189154
2020-09-20 19:00:00+00:00,5615.0,5909.767075512862,5097.1107645834745,6722.4233864422495,-294.767075512862
2020-09-20 20:00:00+00:00,5530.0,5685.662646874004,4866.232463403038,6505.09283034497,-155.66264687400417
2020-09-20 21:00:00+00:00,5165.0,5248.342927621436,4422.88924159368,6073.796613649191,-83.34292762143559
2020-09-20 22:00:00+00:00,5054.0,4969.516411977585,4138.701579068028,5800.331244887143,84.48358802241455
2020-09-20 23:00:00+00:00,4814.0,4692.30880592689,3856.7185489879953,5527.899062865785,121.69119407310973
2020-09-21 00:00:00+00:00,4741.0,4744.421990419303,4646.895552832298,4841.948428006309,-3.421990419303256
2020-09-21 01:00:00+00:00,4659.0,4625.079621526731,4417.9867456276825,4832.1724974257795,33.92037847326901
